"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"UniRef90_A0A174VAI6"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	0.000369175275595843	0.00567961962455144	NA	"prevalence"	37	29
"UniRef90_A0A174VAI6|g__Prevotella.s__Prevotella_copri"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	0.00034963596853661	0.00567961962455144	NA	"prevalence"	37	29
"UniRef90_A0A174Y3E0"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	0.000357416204731865	0.00567961962455144	NA	"prevalence"	37	29
"UniRef90_A0A174Y3E0|g__Prevotella.s__Prevotella_copri"	"sick"	"CC"	"sickCC"	0.915928153890215	0	1.09406632674147	0.402492575869228	0.521458853246524	0.000356136335498103	0.00567961962455144	NA	"prevalence"	37	29
"UniRef90_R6Q8L0"	"sick"	"CC"	"sickCC"	1.32864224201077	0	3.01560186438135	0.659510271865509	0.754937803164376	0.000263041509185388	0.00567961962455144	NA	"prevalence"	37	36
"UniRef90_R6Q8L0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii"	"sick"	"CC"	"sickCC"	1.32864224201077	0	3.01560186438135	0.659510271865509	0.754937803164376	0.000203836687017328	0.0050959171754332	NA	"prevalence"	37	36
"UniRef90_A7AJP8"	"sick"	"CC"	"sickCC"	-0.322134672664421	0	0.883278437878158	0.71533280071493	0.803339044336013	0.0155924755997882	0.0872525653996777	NA	"prevalence"	37	10
"UniRef90_A7AJP8|g__Parabacteroides.s__Parabacteroides_merdae"	"sick"	"CC"	"sickCC"	-0.322134672664421	0	0.883278437878158	0.71533280071493	0.803339044336013	0.015705461771942	0.0872525653996777	NA	"prevalence"	37	10
"UniRef90_A0A0H2VC20"	"sick"	"CC"	"sickCC"	-1.267909280912	-1.57857971460668	1.44145161424365	0.830953014180853	0.883042606114578	0.00301641542128472	0.023203195548344	NA	"abundance"	37	29
"UniRef90_A0A0H2VC20|g__Escherichia.s__Escherichia_coli"	"sick"	"CC"	"sickCC"	-1.267909280912	-1.57857971460668	1.44145161424365	0.83078522035938	0.883042606114578	0.00301641542128472	0.023203195548344	NA	"abundance"	37	29
"UniRef90_A0A1B2H845"	"sick"	"CC"	"sickCC"	-2.13060743781524	-1.57857971460668	4.1364725555219	0.894794742820805	0.924518141443067	0.0107792119251261	0.067370074532038	NA	"abundance"	37	22
"UniRef90_A0A1B2H845|g__Escherichia.s__Escherichia_coli"	"sick"	"CC"	"sickCC"	-1.53260000395399	-1.57857971460668	3.92607986922986	0.990731749774747	0.993522543436084	0.0107792119251261	0.067370074532038	NA	"abundance"	37	22
